,comuna_id,lat,lon,id,Users,Males,Females,High school grad,College grad,Away from hometown,Away from family,Recently moved,Single,Married,Civil union,Engaged,iOS,Android,Frequent international travelers,Frequent Travelers,Returned from travels 1 week ago,Technology early adopters,2G,3G,4G,WiFi,Expats,Gambling,Casino,Catholic Church,Buddhism,Atheism,Cooking,Restaurants,Fast food,LGBT community,Homosexuality,Same-sex marriage,Fitness and wellness,Older devices,Mac,iPhone X,Huawei,VIVO,Oppo,iPhone 8,iPhone 8 Plus,Galaxy S8,Galaxy S8+,Galaxy S9,Galaxy S9+,smartphone e tablet,tablet,Cherry Mobile,Samsung Android,Windows,circle_id_x,Unnamed: 0_x,x_coord,y_coord,overlap_wrt_circle,overlap_wrt_comuna,Unnamed: 0_y,circle_id_y,median_income_comuna,log_median_income_comuna
18,13119,-1005.3000000000002,-2122.9043970668818,3418,825911.0522623408,0.4751267503303616,0.51332461223873,0.1372466275954947,0.28223158514445335,0.07311944110822954,0.07314261483116064,0.0,0.20855903440929513,0.14808400031822588,0.0,0.03553883776250614,0.09210649857973821,0.6665550297511389,0.24306671726067164,0.7348585886929412,0.2302324306146966,0.03160599366715675,0.0,0.0,0.2943170391285171,0.4593582525190941,0.08746651434151995,0.12730008894897143,0.03310914629457402,0.14931810914630325,0.05235123085389616,0.03486326207035404,0.38514092241730546,0.4353872816873437,0.42103675409226465,0.07501361537337364,0.014893054468813487,0.0,0.6991200562435487,0.181110399349661,0.0,0.0,0.185998062770139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7398189215517569,0.3813536215568186,0.0,0.29114445747491136,0.055542933242739644,3418,8115,-2122.9043970668818,-1005.3000000000002,21.152263640213402,0.48487336326474084,256,112,550000.0,13.217673557208654
19,13120,-368.05529411764707,-776.5912364296782,1914,346060.3379749298,0.46761742022022906,0.5151030475829143,0.10212209656247656,0.3915082016624793,0.12254496221141227,0.12173371454378554,0.0,0.22646397814378819,0.14859953083005845,0.0,0.02782704219457238,0.18340215098380183,0.5324786500483595,0.32484011242010574,0.7100049817566554,0.22028711087125813,0.02143837625622766,0.0,0.0011216014604763043,0.26217087991361393,0.46212459301715625,0.147688932487504,0.11137960509607396,0.039834759180639716,0.15660176219678823,0.07158487422089603,0.0460576662161248,0.4326104369461984,0.5018700631713142,0.4358542873220466,0.08514241274555248,0.021555896408967483,0.0,0.7131931947563486,0.16798237261470236,0.03243428554633792,0.0,0.1465577457654475,0.0,0.0,0.012868469500717652,0.0,0.0011216014604763043,0.0,0.0,0.0,0.7017946013334128,0.35483463477355787,0.0,0.25249194465771696,0.06382866101103872,1914,3201,-776.5912364296782,-368.05529411764707,4.849709955299944,0.9077572446156479,286,192,1008962.0,13.824432637576006
20,13121,-167.46470588235292,-353.3706979656605,680,155666.85810150875,0.4878165547102276,0.5000538348905315,0.12389649937637918,0.2848589351220218,0.0850681891287313,0.08518040921216535,0.0,0.2150857666450363,0.12580722407704067,0.0,0.035850149306796926,0.08886859285757304,0.6613064988658055,0.2509334942751496,0.7212176717748653,0.21733656546581945,0.03357967866014387,0.0,0.0,0.2927190771478832,0.45437224447871793,0.160496253390527,0.12346148905087968,0.040266947126379245,0.14867633616894804,0.053304951218912676,0.03692794455397376,0.3749021234667233,0.42290966178105,0.41329232239084207,0.07488295752025495,0.019130635141775088,0.0,0.673745534397255,0.1961221414964147,0.009044935437322666,0.0,0.18791527638640926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7443831515096597,0.3943703012225323,0.0,0.2883268900616849,0.05182338438110544,680,1495,-353.3706979656605,-167.46470588235292,2.5326830613458564,0.9427517983046647,297,132,400000.0,12.89921982609012
21,13122,-803.6505882352944,-1692.832951364284,3627,324521.69966854405,0.465044662365387,0.522607763385266,0.12377052198893325,0.3068609540085492,0.07497465744991161,0.07489130183807659,0.0,0.21752514451412225,0.1445247102172217,0.0,0.024652978750840427,0.11903709769940574,0.620872572536534,0.27746393043435236,0.7293524250039356,0.2215691852578463,0.024609698578863845,0.0,0.0,0.2777079217871521,0.4715989309916195,0.09494976922408456,0.10806173184929291,0.027139745853124606,0.1419513226746556,0.04282806050653966,0.026686853695391158,0.3903400933837688,0.44765821967249353,0.42609404642333903,0.06419639164866953,0.003208908543952397,0.0,0.6908405306983867,0.18355243733422358,0.0020990344665349787,0.0,0.16493129012366317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7270732848286997,0.3797297011379205,0.0,0.2791534113715703,0.052871774892612085,3627,7524,-1692.832951364284,-803.6505882352944,14.638436684565665,0.8663398297467532,302,155,553159.0,13.223400761781747
22,13123,-300.86823529411765,-635.5084547548504,1833,279983.9812579344,0.48351499961471217,0.4967416155439856,0.09755218060722048,0.3830337640245262,0.12398987939290192,0.12329415736651782,0.0,0.22873839499695536,0.14013029683595626,0.0,0.026316038045788078,0.1877461558741788,0.5353410136045968,0.33714513645143696,0.7114415076597105,0.24112326700863773,0.024220675564155112,0.0,0.00064615104802075,0.30314187508221263,0.4236429953162542,0.1675531181456294,0.10728781418294844,0.0409516240654945,0.16073584550787434,0.07092127706955952,0.04347872717450277,0.4286440616379992,0.4957114234606984,0.4224462837259172,0.08493060168581747,0.023411906782303402,0.0,0.7079648924254811,0.17118081312096617,0.03482727264825553,0.0,0.1446531585585254,0.0,0.0,0.015915650515698276,0.0,0.0006640996882435487,0.0,0.00040683584505010187,0.00040683584505010187,0.7185856609000986,0.36356681893787146,0.0,0.2554602333804317,0.0772703223149953,1833,2970,-635.5084547548504,-300.86823529411765,4.216037988634743,0.9273111573411243,326,209,926973.5,13.739680257300114
23,13124,-768.7070588235295,-1627.7356233087462,4675,334816.98732428736,0.48260753474332896,0.5036470869275902,0.13473980275987207,0.26179100048090953,0.06072774000752532,0.06056316279957384,0.0,0.20890385895312186,0.1348185879224566,0.0,0.03293524296844645,0.0680788380882168,0.6819392038922831,0.2439091296228459,0.7323771267486702,0.23188258686461222,0.02939558204374236,0.0,0.0,0.2789276863369678,0.4707831426930447,0.09796787388309808,0.12739806796993952,0.031868642402228003,0.14549813113792315,0.03789768853921508,0.02894309469181319,0.37009632739916,0.42386781144652796,0.41537102348066474,0.06638629604599523,0.01401348638918884,0.0,0.6894544337951023,0.1880754644256256,0.0,0.0,0.19345586243869436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7446197563624837,0.4019514507837183,0.0,0.29187940897131587,0.035661691939729914,4675,7958,-1627.7356233087462,-768.7070588235295,13.63905651000366,0.2180615014914699,335,147,400000.0,12.89921982609012
24,13125,-900.5576470588242,-1909.8169095097007,7415,377774.996768766,0.48948511648165893,0.502024874917209,0.13435912265083244,0.274100732728862,0.06897922980100167,0.0687476491742418,0.0,0.20201805969430697,0.14962848808318258,0.0,0.02846646831065496,0.08271410888865396,0.6754346174203497,0.24678671259253612,0.7342678967285188,0.21360189809211827,0.026443852039790966,0.0,0.0,0.28969675777074927,0.46562095968652495,0.1421483660876894,0.1275237976395053,0.03313376200631082,0.14681973477061158,0.04752288138606561,0.02129412380295891,0.37095132253492596,0.41964153261637277,0.4154726418871073,0.06041160158949833,0.006264752000289978,0.0,0.6852788589827266,0.18691723963274487,0.0,0.0,0.19530556808684682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7471000452911903,0.39766782607097084,0.0,0.3007769612566059,0.03791230226734471,7415,10017,-1909.8169095097007,-900.5576470588242,16.52812212804429,0.9228650417250414,358,292,531655.0,13.183750061718541
25,13126,-300.85058823529414,-636.289202491787,1810,197095.53442098867,0.4930495261980077,0.4947834059126287,0.13258211184384058,0.29058087056251286,0.10105201932140627,0.1007059295256208,0.0,0.2222057154878165,0.12077427839892196,0.0,0.03874353786358338,0.07885233122812639,0.6783406372668035,0.2662736927875847,0.7297306592584877,0.2319943562035992,0.03410552477573992,0.0,0.0005777717477422668,0.3000829887667302,0.4517643557225255,0.21761923407061293,0.12662467318155493,0.039103435940187434,0.1543697883605835,0.05286300230890458,0.037297017735189064,0.370723994925223,0.42753251779332907,0.40963411198493505,0.079092290464957,0.024878597977405638,0.0,0.6689713829108754,0.1952690273635462,0.0011946656566834512,0.0,0.1915857173172271,0.0,0.0,0.0005013063579916767,0.0,0.0002523357861769472,0.0,0.0,0.0,0.752954412988993,0.4085358569684967,0.0,0.29662830386884875,0.04722235219573959,1810,3501,-636.289202491787,-300.85058823529414,3.392861559817974,0.9244456309926166,385,186,400000.0,12.89921982609012
26,13127,-367.45529411764704,-777.024177606149,2503,260999.80054649225,0.49546572994425403,0.48865783793865514,0.12406997494867261,0.29704614016627623,0.1043150910499374,0.10423964085114705,0.0,0.2222482489415084,0.11879483053776063,0.0,0.03676985371551946,0.09159364081077502,0.6609831242072735,0.28672817308003207,0.7254451573861916,0.2185679486082098,0.0343290930641353,0.0,0.0002804459456280704,0.3049216821497523,0.44371239757892067,0.24389548074553838,0.12192024346556893,0.040635289437389484,0.16189550386153165,0.05437616928649638,0.03329838943968217,0.3837073538702191,0.4404528658109044,0.41322891951872004,0.0747264524581754,0.021371630650748683,0.0,0.6757027617033572,0.19792103491384108,0.008959225797017469,0.0,0.1851257818826261,0.0,0.0,0.0003271869365660822,0.0,0.0002882361107844058,0.0,0.00017657707687693323,0.00017657707687693323,0.7552041585960466,0.4144659126293848,0.0,0.295974396460103,0.04633765089970348,2503,4389,-777.024177606149,-367.45529411764704,4.597272551789566,0.9237479533358599,394,243,438025.0,12.990031265355288
27,13128,-501.0352941176469,-1060.8175475162711,3389,261640.1753030169,0.4849799728622067,0.504902649162477,0.13483199494739456,0.2567494453870237,0.0740874850069277,0.07392845123058428,0.0,0.21131082310311808,0.1282149578304584,0.0,0.036321286383488215,0.07089981897922933,0.6860321085379432,0.24911045116068917,0.7384475526034143,0.22518691087263212,0.03433373553656414,0.0,0.0002598186077833438,0.29060265124176426,0.46767808006163747,0.1468564454192621,0.1317822771570007,0.03608210135162318,0.15074406584333147,0.0447131292637369,0.03128548369485884,0.37356937138832275,0.420946350350254,0.412808677644236,0.07513830369405011,0.013056811053989002,0.0,0.6724643321062211,0.19535305610570763,0.0006298632915959849,0.0,0.1970590690471198,0.0,0.0,0.0002598186077833438,0.0,0.0,0.0,0.0,0.0,0.7506798216631458,0.40387294134761215,0.0,0.29355591495972105,0.03816834846081844,3389,6180,-1060.8175475162711,-501.0352941176469,7.091901656062611,0.9356152304138143,405,237,430000.0,12.971540487669746
