,comuna_id,circle_id,x_coord,y_coord,overlap_wrt_circle,overlap_wrt_comuna,median_income_comuna,median_income_circle
0,13101,151,-70.65925226306331,-33.47882352941176,0.34829966191519157,0.048425536755516835,540000.0,447000.0
1,13101,150,-70.67807579247507,-33.47882352941176,0.07873611118635492,0.010947005877857238,540000.0,388147.0
2,13101,205,-70.66823529411765,-33.42588235294117,0.3336635371969521,0.046390616044987946,540000.0,535487.5
3,13101,187,-70.65925226306331,-33.44352941176471,1.0,0.13903411932483617,540000.0,513207.5
4,13101,206,-70.64941176470589,-33.42588235294117,0.07911875220014553,0.011000206034227179,540000.0,382509.0
5,13101,186,-70.67807579247507,-33.44352941176471,0.7471748059765266,0.10388279113065173,540000.0,397950.0
6,13101,168,-70.68705882352941,-33.461176470588235,0.031518776378935444,0.004382185316041738,540000.0,302870.0
7,13101,204,-70.68705882352941,-33.42588235294117,0.0413721753304499,0.005752143961621815,540000.0,312481.0
8,13101,169,-70.66823529411765,-33.461176470588235,1.0,0.13903411932483617,540000.0,548027.5
9,13101,171,-70.63058823529411,-33.461176470588235,0.647143835922172,0.08997507330393545,540000.0,545766.5
10,13101,185,-70.69689932188683,-33.44352941176471,0.07442476498521255,0.010347581655676931,540000.0,386641.0
11,13101,170,-70.64941176470589,-33.461176470588235,1.0,0.13903411932483617,540000.0,435421.5
12,13101,153,-70.62160520423977,-33.47882352941176,0.015294330743841364,0.0021264338056327507,540000.0,505578.0
13,13101,152,-70.64042873365155,-33.47882352941176,0.32542264161015544,0.04524485038462975,540000.0,398641.0
14,13101,188,-70.64042873365155,-33.44352941176471,0.8588287498117347,0.1194064988809246,540000.0,650425.0
15,13102,113,-70.69689932188683,-33.514117647058825,0.26484213559068787,0.050435731753035964,490000.0,417583.0
16,13102,132,-70.68705882352941,-33.49647058823529,0.19106534310745074,0.03638590351484839,490000.0,486399.0
17,13102,95,-70.70588235294117,-33.53176470588235,0.17707441067441476,0.0337215128445586,490000.0,358386.5
18,13102,150,-70.67807579247507,-33.47882352941176,0.02899047640290584,0.005520858257650633,490000.0,388147.0
19,13102,129,-70.7435294117647,-33.49647058823529,0.014933348744660306,0.00284386156976264,490000.0,500000.0
20,13102,149,-70.69689932188683,-33.47882352941176,0.4632567012983076,0.08822119889407536,490000.0,376678.0
21,13102,130,-70.72470588235294,-33.49647058823529,0.9523501161081945,0.18136266302141396,490000.0,494996.0
22,13102,131,-70.70588235294117,-33.49647058823529,1.0,0.19043696215689832,490000.0,500000.0
23,13102,112,-70.7157228512986,-33.514117647058825,0.8598415382182689,0.1637456104746017,490000.0,650000.0
24,13102,111,-70.73454638071036,-33.514117647058825,0.1911615192306693,0.036404219003586154,490000.0,375000.0
25,13102,94,-70.72470588235294,-33.53176470588235,0.08745488864199587,0.016654643318751525,490000.0,
26,13102,148,-70.7157228512986,-33.47882352941176,0.4672228666810852,0.08897650338098337,490000.0,400000.0
27,13102,147,-70.73454638071036,-33.47882352941176,0.06671023347387416,0.012704094207542024,490000.0,572077.5
28,13103,201,-70.7435294117647,-33.42588235294117,0.8118431739905548,0.23233714329772,350000.0,350000.0
29,13103,200,-70.76235294117647,-33.42588235294117,0.5752315003673555,0.16462248844598604,350000.0,351194.0
30,13103,199,-70.78117647058824,-33.42588235294117,0.15782866346300287,0.045168158056001516,350000.0,
31,13103,219,-70.73454638071036,-33.408235294117645,0.21728022931464538,0.06218229011632429,350000.0,390000.0
32,13103,202,-70.72470588235294,-33.42588235294117,0.8364715082886107,0.2393853972195521,350000.0,350000.0
33,13103,218,-70.75336991012213,-33.408235294117645,0.21593333973605697,0.06179683084653885,350000.0,453152.0
34,13103,183,-70.73454638071036,-33.44352941176471,0.08461482602458105,0.024215473614875097,350000.0,359036.5
35,13103,220,-70.7157228512986,-33.408235294117645,0.08756874995037847,0.025060841622423984,350000.0,450000.0
36,13103,217,-70.7721934395339,-33.408235294117645,0.14034528317985598,0.040164681078782655,350000.0,290000.0
37,13103,184,-70.7157228512986,-33.44352941176471,0.014196566415195063,0.004062840941717579,350000.0,342698.5
38,13104,259,-70.65925226306331,-33.37294117647059,0.2653771988881964,0.07647133416297723,550000.0,500000.0
39,13104,258,-70.67807579247507,-33.37294117647059,0.7583143638389414,0.21851655440128492,550000.0,500000.0
40,13104,242,-70.64941176470589,-33.39058823529412,0.052629443165920095,0.015165748044722106,550000.0,445099.0
41,13104,240,-70.68705882352941,-33.39058823529412,0.6147180349445561,0.1771377061149044,550000.0,500000.0
42,13104,241,-70.66823529411765,-33.39058823529412,0.9849278972338568,0.283817715581287,550000.0,565000.0
43,13104,222,-70.67807579247507,-33.408235294117645,0.09521755900615965,0.02743797810606442,550000.0,459547.0
44,13104,223,-70.65925226306331,-33.408235294117645,0.014678779316147864,0.004229850352225076,550000.0,458574.0
45,13104,257,-70.69689932188683,-33.37294117647059,0.4454653360267883,0.12836569498828426,550000.0,500000.0
46,13105,78,-70.67807579247507,-33.54941176470588,0.9168476492831571,0.2031587703761307,399632.5,454615.5
47,13105,96,-70.68705882352941,-33.53176470588235,0.019561227773802266,0.0043344551133224895,399632.5,415235.5
48,13105,42,-70.67807579247507,-33.58470588235294,0.3117857016237168,0.0690867232001498,399632.5,361014.0
49,13105,60,-70.68705882352941,-33.56705882352941,1.0,0.22158400093512987,399632.5,552318.0
50,13105,61,-70.66823529411765,-33.56705882352941,0.9990636418752706,0.22137651895554425,399632.5,349499.0
51,13105,62,-70.64941176470589,-33.56705882352941,0.03519343666857712,0.0077983025036804255,399632.5,410000.0
