,district_id,lat,lon,id,Users,Males,Females,High school grad,College grad,Away from hometown,Away from family,Recently moved,Single,Married,Civil union,Engaged,iOS,Android,Frequent international travelers,Frequent Travelers,Returned from travels 1 week ago,Technology early adopters,2G,3G,4G,WiFi,Expats,Gambling,Casino,Catholic Church,Buddhism,Atheism,Cooking,Restaurants,Fast food,LGBT community,Homosexuality,Same-sex marriage,Fitness and wellness,Older devices,Mac,iPhone X,Huawei,VIVO,Oppo,iPhone 8,iPhone 8 Plus,Galaxy S8,Galaxy S8+,Galaxy S9,Galaxy S9+,smartphone e tablet,tablet,Cherry Mobile,Samsung Android,Windows,circle_id_x,Unnamed: 0,x_coord,y_coord,overlap_wrt_circle,overlap_wrt_district,Indice_de_pauvretmultidimensionnelle2014,Intensit_de_privation_des_pauvres2014,Taux_de_pauvretglobale2014 ,Taux_de_pauvretmultidimensionnelle2014,circle_id_y
0,175,403.0339735714285,-92.05672359472719,684,462745.31524619454,0.5835586559794383,0.41251617133785207,0.09049744261091038,0.2147633256605988,0.028686381908641718,0.028731816625841008,0.0,0.11694182433786077,0.07961225174139058,0.0,0.0012054149124989513,0.05634919697612623,0.7393833568250421,0.3261003191152971,0.7293525414752459,0.12495209318102637,0.04536617500515234,0.0,0.12515349759599034,0.34383733276354034,0.2743650934610603,0.05539427383542762,0.07136772462629533,0.011300809119083426,0.037929914249237334,0.044141319667475365,0.021289860448016763,0.37765189597956184,0.40786479016591276,0.18645167227851142,0.07049604353507193,0.04566993055880935,0.0,0.6192073108749437,0.3325746890159584,0.015937860354906668,0.0,0.06993338092855851,0.0,0.03806944548434616,0.0,0.0,0.0,0.0,0.0,0.0,0.8367520857240703,0.447825699537392,0.0,0.36479267419321687,0.0012372896866305323,684,66,-92.05672359472719,403.0339735714285,5.099086528388957,0.8901761843574391,0.231871873,35.95577621,1.171,0.6448807120000001,67
1,176,268.6718104285714,-60.66551040683649,479,277681.1630456448,0.6086033911537448,0.4017219269650503,0.09263440842814348,0.2323234472562483,0.031843388617604315,0.031728114300251783,0.0,0.12445480312048972,0.08857460093257367,0.0,0.003573935134466196,0.05878960768721023,0.745732640072066,0.34712547747749206,0.7330866799234451,0.12755936513314525,0.0461115702169007,0.0,0.11375565422184636,0.3394896099535916,0.29551613894903034,0.05584397632261212,0.07954889028217399,0.014418171640967843,0.04215392500945182,0.04758381705221994,0.02123153351706431,0.3932878755518559,0.4324316726193258,0.20273132802622193,0.07298308462755577,0.04781522885886843,0.0,0.6565713475172419,0.33506067250874805,0.015760034240356685,0.0,0.0739356881412097,0.0,0.04230379708187841,0.0,0.0,0.0,0.0,0.0,0.0,0.8284622528053578,0.4481873796117396,0.0,0.36690127489371177,0.003509568252567452,479,124,-60.66551040683649,268.6718104285714,2.4075918667000606,0.880780192142419,0.173813462,35.1200943,0.931807,0.4949117,83
2,177,134.15209971428575,-30.347947937891067,102,119882.2229080309,0.6248803164676199,0.38711537142670144,0.09523698239495358,0.24142074437771396,0.03230461320886629,0.03230390396663686,0.0,0.1257736667807605,0.08993558647810916,0.0,0.007704464304781203,0.060185243882202276,0.7395217052059281,0.3539249594755087,0.7378957090613911,0.12779965099525148,0.0477431599111908,0.0,0.10485980200281635,0.33707982977958734,0.3029988688020978,0.054247642899848895,0.08567617005489815,0.013303407650257688,0.0426521061083193,0.04716837325569527,0.02217203924649194,0.4019629548932687,0.4524185787895344,0.21372853039211367,0.07514449132010723,0.04875448701477099,0.0,0.6744013869987737,0.33527712591326136,0.015446073030925591,0.0,0.07458328215830856,0.0,0.04388526252084898,0.0,0.0,0.0,0.0,0.0,0.0,0.821631664615919,0.45039264455517025,0.0,0.3691375090343941,0.006745274120766226,102,86,-30.347947937891067,134.15209971428575,0.9600424583765084,0.8885744844841551,0.394835055,35.71265411,3.263527,1.105588675,32
3,179,302.0785457142858,-68.68277756367326,384,404073.2303884333,0.5823031432855287,0.4098379410902138,0.0901398990459692,0.21380347898468238,0.029712082483838432,0.029837254672243258,0.0,0.11826184197430173,0.08125372801208285,0.0,0.003149634318483859,0.05838949894909801,0.7292313867588922,0.3287557945741327,0.722351346889475,0.12571757468983732,0.045045407630193615,0.0,0.1218399897219914,0.34154748143608127,0.27983823834007526,0.05464246213667373,0.07255019353375568,0.012007290812181519,0.037882423600621565,0.04453808407518699,0.019087337045605536,0.3772301201108321,0.4086057416931141,0.19120485685470315,0.07052743485455688,0.04494138486904161,0.0,0.6223410535723101,0.33041272173460073,0.01584807922657068,0.0,0.06956323172004152,0.0,0.038253184003067375,0.0,0.0,0.0,0.0,0.0,0.0,0.8355380517007795,0.4502250048375023,0.0,0.36239542628102756,0.0020488326852675944,384,252,-68.68277756367326,302.0785457142858,3.5721494979506354,0.886725509331218,0.2267434,36.19181442,0.756655,0.6265046,42
4,180,301.9735140000001,-68.97632312578182,292,456479.19617112563,0.5864162176743858,0.40771314047776863,0.08963770789532945,0.21868514460561492,0.02938797004999828,0.029709558295207522,0.0,0.11878584208981176,0.08125674883874462,0.0,0.0,0.056995857427869126,0.7375719246803031,0.33156269558098866,0.7336225259820324,0.1254395211945279,0.04537489706148316,0.0,0.1213919732099547,0.34385016910502236,0.28146180040184754,0.05624609388902869,0.07474315927098243,0.011892257404913906,0.04005988585519358,0.044700113609321294,0.020357085648863717,0.37600915942847507,0.4076270361799279,0.19101534020214023,0.06990191096268714,0.04658400272896306,0.0,0.6219704120226679,0.3327206779212853,0.01537802734602453,0.0,0.07089297820828572,0.0,0.03887566219168536,0.0,0.0,0.0,0.0,0.0,0.0,0.822943054905491,0.44676521297703564,0.0,0.36574779032363297,0.0,292,333,-68.97632312578182,301.9735140000001,4.353730608226731,0.8981915097744287,0.335722357,35.36194992,1.747365,0.949388742,15
5,181,167.87393014285715,-37.81233790683672,270,165558.72604220436,0.6073731870249142,0.39043575429980004,0.09162709658078508,0.2293708468561649,0.030417684037870592,0.030452716416751777,0.0,0.12472562510380678,0.085616053919414,0.0,0.0060357405761137265,0.056218187934923676,0.7336223705261495,0.34210862980535556,0.7253905866729942,0.12454670042449677,0.04653748942261139,0.0,0.11170780993859268,0.33575408578885324,0.28980282589307776,0.05446553019525188,0.07971937697120904,0.014482243832123012,0.04083324854713234,0.04646101071228452,0.020870908999527753,0.38523446245142146,0.42543825926829454,0.19957117409083247,0.07265751020834042,0.04751734841686657,0.0,0.6458277030645998,0.3259363463245134,0.015398444697153894,0.0,0.07207408425261554,0.0,0.042283787331814794,0.0,0.0,0.0,0.0,0.0,0.0,0.8127193898631102,0.43822450999354523,0.0,0.35795947029469233,0.0027225481243154893,270,220,-37.81233790683672,167.87393014285715,1.2519139230523464,0.8761659199594085,0.337353945,35.78306198,2.307446,0.942775488,46
6,183,301.780955857143,-68.49491809472767,173,257062.0958140997,0.5816223510762341,0.42013845119451737,0.09055380368482774,0.21037976774132353,0.027071571604024524,0.02731507780406808,0.0,0.11633078943057577,0.07782057344579243,0.0,0.001737045076595415,0.0569041107003035,0.7415794659702484,0.3219198226901486,0.7311007389287721,0.12365619475010851,0.045306413596405304,0.0,0.12864044322148463,0.3472260327928309,0.2721181442367944,0.05371790609263901,0.07206468783578654,0.008722085552055406,0.03601168566283877,0.04376182906136897,0.021954423665351854,0.3740762667190772,0.40088582194252326,0.18622618009869885,0.0724358066502126,0.04681215851952599,0.0,0.6158078763129008,0.33212798014392914,0.014749358714174975,0.0,0.06939774692905709,0.0,0.037376271962950146,0.0,0.0,0.0,0.0,0.0,0.0,0.8420441215702412,0.4480157335385135,0.0,0.3692238027646277,0.0,173,459,-68.49491809472767,301.780955857143,3.346022141800271,0.8891551407418032,0.31386503600000004,35.70518112,1.592447,0.879046202,5
7,184,436.7733092857143,-98.09658272051033,936,668093.2793143967,0.5937790508654536,0.40650748629107136,0.09314555098184628,0.22188511962154808,0.028557502002891807,0.0286178037930487,0.0,0.12104500821009488,0.08149456884336034,0.0,0.0025457541792725472,0.05416132035740374,0.7408869183568606,0.33381279311356354,0.729155208230741,0.1250222673856808,0.046472638862028744,0.0,0.12238907530983324,0.3413349045450932,0.2803426856192178,0.054237525105634614,0.07392189338323786,0.011934440784789736,0.03806855152293296,0.04485514891969949,0.02056037683453146,0.37666015911207895,0.4085631181724716,0.1913321380428374,0.0723285194750451,0.04710476301684135,0.0,0.6241248790090679,0.33610629857262675,0.015287604611650248,0.0,0.07140136160989234,0.0,0.03991792321670029,0.0,0.0,0.0,0.0,0.0,0.0,0.8226364431275183,0.42758385244525376,0.0,0.3633833564980784,0.0017668730952265642,936,806,-98.09658272051033,436.7733092857143,6.38225440252494,0.8973844656821846,0.302391768,35.87693787,1.809098,0.8428583740000001,61
8,185,100.69284857142858,-22.77443549999981,135,70960.0396552019,0.6156525041030191,0.3861191633365088,0.09363532561918142,0.23315411423629157,0.03134641828051468,0.030969962933074788,0.0,0.1248982636603124,0.08813955678689608,0.0,0.0023929142949216764,0.05835077158472296,0.7222045233305106,0.3535562265452268,0.7207154382443034,0.12937985226229867,0.0464996779733455,0.0,0.10403164810957455,0.338212194127779,0.2992878191222096,0.05292716700895256,0.08314019872020692,0.014429104998874552,0.042952686843344766,0.04533018989459964,0.020515262305951545,0.38641232493411515,0.4322141894301412,0.20080672404581845,0.06955985682227227,0.04695761476700007,0.0,0.6519089751110828,0.3217321073025597,0.015391717123391893,0.0,0.07322724404277048,0.0,0.04268097275993525,0.0,0.0,0.0,0.0,0.0,0.0,0.8112451709251813,0.4348085853420722,0.0,0.3569041261612813,1.0679349553353779e-05,135,210,-22.77443549999981,100.69284857142858,0.5545474211578455,0.9730016361291886,0.342899621,35.53739929,2.531479,0.964897871,44
9,188,100.71035385714288,-22.804820968945457,146,17032.72867520906,0.6163892702417039,0.3931023811324669,0.0957386581855017,0.23026273603121267,0.03165215903415357,0.03164734013011997,0.0,0.12597729969654645,0.08746876725717656,0.0,0.007855129653128635,0.059714390001848444,0.7312317037763868,0.35263776317651957,0.7285683599562147,0.1283096227616045,0.046907819470552864,0.0,0.10724606858171729,0.34180685100263275,0.29835084071836854,0.05453968765326965,0.08058022340275804,0.014368470846476772,0.04207469901368739,0.04621835273405222,0.021062018500296324,0.39117631388555335,0.43310807511503707,0.19977276719853845,0.0688278327390939,0.04663592519720399,0.0,0.6560563545795302,0.3260690403901149,0.01553672670466075,0.0,0.07302506887711288,0.0,0.041597706992962065,0.0,0.0,0.0,0.0,0.0,0.0,0.8237923162383736,0.44353570371774875,0.0,0.35723012574613183,0.002285909075126729,146,219,-22.804820968945457,100.71035385714288,0.11794629157645917,0.720689444132182,0.36008232799999995,33.33333588,1.4521190000000002,1.080246925,57
10,189,100.71035385714288,-22.804820968945457,146,91280.29962011598,0.617628433526919,0.3905955297056209,0.09468062637603805,0.23119684570743912,0.03220406302942788,0.032203060016467146,0.0,0.1258724570186735,0.08847915121949215,0.0,0.007951448251192301,0.05984975545476746,0.7287820616920552,0.352771203269755,0.7273197367581589,0.12813803826942988,0.04677818801249567,0.0,0.10597643621507664,0.3398718898358783,0.2987607079816516,0.05485520956707737,0.08170497525883942,0.014554343888080107,0.04229678674100956,0.04631987573535728,0.021066312466137486,0.3923630848554107,0.4357675041376402,0.20170298389708324,0.0691724076497589,0.04654298577404447,0.0,0.6596594765414098,0.3267696770664948,0.015643962658733104,0.0,0.07311943381750373,0.0,0.041885087072902207,0.0,0.0,0.0,0.0,0.0,0.0,0.8253937932663543,0.4420058943696461,0.0,0.3572873205768568,0.003658532770082297,146,228,-22.804820968945457,100.71035385714288,0.6190354762946069,0.9652157471665621,0.409663945,36.54304123,2.653285,1.121044993,44
11,190,201.33318128571437,-45.28571090683669,243,175738.53514889535,0.6129056633608416,0.3849370593219239,0.09370633940033984,0.2307405813034016,0.02903954822147994,0.029057716808272842,0.0,0.12432872664523283,0.08486269224687969,0.0,0.005594107462890576,0.054991028883479384,0.7411652644839254,0.34373772724340157,0.7232674937448544,0.12429227967548635,0.047042537644004984,0.0,0.11196343795004317,0.33704959343290736,0.28634865322904535,0.05585777960404924,0.07791527360283831,0.011497307420435053,0.04083109759429894,0.044479154541256824,0.021479264314787635,0.3807832763939652,0.42063022641072595,0.19506935794256836,0.07437767221992418,0.04773169019616671,0.0,0.6442615491416592,0.32506914315322455,0.01252086622359828,0.0,0.0732287506811531,0.0,0.04192764482903506,0.0,0.0,0.0,0.0,0.0,0.0,0.8230730282435441,0.4339364873397814,0.0,0.36175920884398,0.005734777944610297,243,483,-45.28571090683669,201.33318128571437,1.6687542535040192,0.8764839282156804,0.439200401,35.72454071,2.825601,1.229408026,33
12,192,100.5878168571429,-22.715382749999833,60,31707.56235787677,0.5989033814497683,0.39459009404912326,0.09473739659552881,0.22063057564745706,0.027044303238181536,0.02705211048724955,0.0,0.11977968224538833,0.07960633374337031,0.0,0.0,0.05700619815831401,0.7372629497419098,0.3356136804846632,0.7300055216709593,0.12756360621604138,0.04671643747586287,0.0,0.12390442261897397,0.3500343804179773,0.27054712903605566,0.05400509454308549,0.07323845560248861,0.0,0.040002348457201575,0.047060594942635696,0.026233060408678253,0.37263067046852455,0.4056645485727231,0.18966740952076633,0.07330146260038196,0.048142892971058254,0.0,0.6140179664029779,0.3388458887944841,0.00017175947949639084,0.0,0.0721831104603153,0.0,0.03936520511115342,0.0,0.0,0.0,0.0,0.0,0.0,0.8428760787784405,0.45400725192022545,0.0,0.3719578393893627,0.0,60,255,-22.715382749999833,100.5878168571429,0.6903460593524096,0.9989175406846463,0.32419157,35.5891304,2.915119,0.910928547,20
13,193,268.72432628571426,-60.912422625782064,505,359567.1720079645,0.5984890556997398,0.3962984439883522,0.09073824185168064,0.2280509126712072,0.03270295495242087,0.032420968438595495,0.0,0.12222153597489703,0.08806026958375013,0.0,0.007792543079977405,0.05884346968521387,0.7211464146769572,0.34475710153190087,0.714341998055422,0.12843060164772227,0.0460185164775696,0.0,0.10736401307979569,0.3382783351942162,0.29378291792431305,0.056188822729209956,0.07943085713321597,0.014306305984471336,0.04093080228971348,0.04625809804086421,0.021051072703951366,0.3888511969388049,0.4317991322293745,0.20063588834749355,0.07159625998327807,0.04617880006233085,0.0,0.6525378751591616,0.32517708055443495,0.01579029552822156,0.0,0.0722364554595263,0.0,0.041901080297963446,0.0,0.0,0.0,0.0,0.0,0.0,0.8087396607503325,0.44973725490900746,0.0,0.3589978276800452,0.0047395460837345365,505,724,-60.912422625782064,268.72432628571426,2.359434302623417,0.8938149450982897,0.365001321,36.46844482,1.605413,1.000868917,44
14,194,235.03750642857142,-52.660662656836706,403,272234.1842398313,0.6062142292057316,0.3907186742534819,0.09124751663135425,0.22678168526416478,0.026915909037421307,0.02684576867251934,0.0,0.12088849919102775,0.0856900418490536,0.0,0.0013376611414666975,0.053665111690524965,0.7406706768627602,0.34413023390357944,0.7339249177609626,0.12716106752410564,0.04752428333100901,0.0,0.1163819678495039,0.3417336124832774,0.2858373858481101,0.05646848658788509,0.07689126249344456,0.013034588876654188,0.04008014162863631,0.04433390644181524,0.018987688234667337,0.3800815431163047,0.4150449013238113,0.19225523404962866,0.07311732414503727,0.04683618638647969,0.0,0.6352242729055667,0.3385707334568873,0.014181766160356971,0.0,0.07341181106840025,0.0,0.04181782175968168,0.0,0.0,0.0,0.0,0.0,0.0,0.8241332143803055,0.43934780552981295,0.0,0.3598481882135535,0.0009082023800416273,403,686,-52.660662656836706,235.03750642857142,3.0025547384633744,0.9051229277289188,0.321890354,35.40739059,2.090641,0.909104943,47
15,195,201.2631601428572,-45.38413215683666,186,237255.32603674155,0.6141645207828049,0.38961902546843935,0.09500927915740774,0.23449847597150789,0.030432660618565508,0.030389658396208954,0.0,0.12483243875671546,0.08653608379186079,0.0,0.0069540236015437785,0.05763800156757327,0.7500708733631744,0.34713414353444766,0.7303590935147826,0.12648018463872326,0.04728549936518348,0.0,0.11120014394797285,0.34034703023108914,0.29407285526610794,0.05512558773259726,0.07951538047299257,0.011621700631873299,0.04141826356985296,0.04542009028801033,0.021907093513169922,0.38897712138508667,0.4310586305676976,0.20002711851270455,0.07381677431892032,0.048463187673991784,0.0,0.6525359032643336,0.3340268602559065,0.01587127476352421,0.0,0.07371867377081956,0.0,0.042660135350388186,0.0,0.0,0.0,0.0,0.0,0.0,0.8331849098147563,0.44317400626886155,0.0,0.3668407717485304,0.007256375064880992,186,627,-45.38413215683666,201.2631601428572,2.014034648436828,0.8923583659028055,0.498484671,35.54293060000001,3.608902,1.402486205,21
16,198,302.463662,-67.53937287578236,729,423734.3761340594,0.6080029040444759,0.4017630213221495,0.09362920416317613,0.22583796869090053,0.02864453301550989,0.028652611927524458,0.0,0.12366201450473263,0.0855267671495571,0.0,0.004107459192112279,0.055398810600219874,0.7452011090899548,0.3401758597108752,0.7297760176186039,0.12686545325104825,0.047298373928197156,0.0,0.11770348159644203,0.345539209244013,0.2875240945033163,0.0545277838833628,0.07641185078540892,0.01310814253564121,0.03980572251884174,0.044952849119861124,0.020641152042343146,0.38502821231967127,0.42022118839416234,0.1938230023718628,0.0731807271139481,0.04751951309280312,0.0,0.642194850008807,0.34470007127596264,0.015433567241967105,0.0,0.0735347853195817,0.0,0.04226289316062713,0.0,0.0,0.0,0.0,0.0,0.0,0.8203996180539586,0.34839656508750755,0.0,0.3681496636283114,0.0025244293631322165,729,1008,-67.53937287578236,302.463662,4.036155556974805,0.8926661021088742,0.303784549,35.4640274,2.186563,0.856599212,88
