,district_id,Indice_de_pauvretmultidimensionnelle2014,Intensit_de_privation_des_pauvres2014,Taux_de_pauvretglobale2014 ,Taux_de_pauvretmultidimensionnelle2014,circle_id,x_coord,y_coord,overlap_wrt_circle,overlap_wrt_district
0,175,0.231871873,35.95577621,1.171,0.6448807120000001,67,-7.670215499999908,33.59929342857142,0.4439623354818109,0.07750499929689947
1,175,0.231871873,35.95577621,1.171,0.6448807120000001,66,-7.6898997499999,33.59929342857142,2.504052045744997e-06,4.371464345826629e-07
2,175,0.231871873,35.95577621,1.171,0.6448807120000001,55,-7.641548218945577,33.58178814285714,0.41553519549601364,0.07254231375236786
3,175,0.231871873,35.95577621,1.171,0.6448807120000001,54,-7.6612324689455695,33.58178814285714,0.9916935202617141,0.17312550963858264
4,175,0.231871873,35.95577621,1.171,0.6448807120000001,52,-7.700600968945555,33.58178814285714,0.5838779131316983,0.10193084779959097
5,175,0.231871873,35.95577621,1.171,0.6448807120000001,41,-7.670215499999908,33.564282857142864,0.2143536829911398,0.0374209267808412
6,175,0.231871873,35.95577621,1.171,0.6448807120000001,53,-7.680916718945562,33.58178814285714,0.9523556793024087,0.16625808172359138
7,175,0.231871873,35.95577621,1.171,0.6448807120000001,39,-7.709583999999893,33.564282857142864,0.02678782884113503,0.004676501787577192
8,175,0.231871873,35.95577621,1.171,0.6448807120000001,80,-7.6612324689455695,33.61679871428571,0.02470776870485671,0.004313374002818603
9,175,0.231871873,35.95577621,1.171,0.6448807120000001,69,-7.630846999999922,33.59929342857142,0.026961876621577667,0.004706886286492385
10,175,0.231871873,35.95577621,1.171,0.6448807120000001,68,-7.650531249999915,33.59929342857142,0.9362224034540817,0.16344160511432168
11,175,0.231871873,35.95577621,1.171,0.6448807120000001,40,-7.6898997499999,33.564282857142864,0.4826258200504747,0.08425470102792107
12,176,0.173813462,35.1200943,0.9318069999999999,0.4949117,83,-7.6021797189455915,33.61679871428571,0.017247388110708004,0.006309689787632429
13,176,0.173813462,35.1200943,0.9318069999999999,0.4949117,72,-7.571794249999944,33.59929342857142,0.01947168777694257,0.007123415367331137
14,176,0.173813462,35.1200943,0.9318069999999999,0.4949117,57,-7.6021797189455915,33.58178814285714,0.2877685489918001,0.10527566627019143
15,176,0.173813462,35.1200943,0.9318069999999999,0.4949117,58,-7.582495468945599,33.58178814285714,0.611049013461282,0.22354281675761817
16,176,0.173813462,35.1200943,0.9318069999999999,0.4949117,47,-7.552109999999952,33.564282857142864,0.039332979165656215,0.014389361181280473
17,176,0.173813462,35.1200943,0.9318069999999999,0.4949117,71,-7.591478499999937,33.59929342857142,0.801530011376626,0.29322733939779105
18,176,0.173813462,35.1200943,0.9318069999999999,0.4949117,45,-7.591478499999937,33.564282857142864,0.10565963558478361,0.03865394106835032
19,176,0.173813462,35.1200943,0.9318069999999999,0.4949117,46,-7.571794249999944,33.564282857142864,0.525532602232262,0.19225796231222395
20,177,0.394835055,35.71265411,3.263527,1.105588675,32,-7.582495468945599,33.546777571428585,0.6220295813242068,0.5757241356738901
21,177,0.394835055,35.71265411,3.263527,1.105588675,20,-7.571794249999944,33.5292722857143,0.07075937651496801,0.06549187065698472
22,177,0.394835055,35.71265411,3.263527,1.105588675,19,-7.591478499999937,33.5292722857143,0.14386789069301328,0.1331580032643014
23,177,0.394835055,35.71265411,3.263527,1.105588675,31,-7.6021797189455915,33.546777571428585,0.12338560984432026,0.11420047488897885
24,179,0.22674339999999998,36.19181442,0.756655,0.6265046,42,-7.650531249999915,33.564282857142864,0.2577335959680397,0.06397799260295252
25,179,0.22674339999999998,36.19181442,0.756655,0.6265046,54,-7.6612324689455695,33.58178814285714,0.0077412836484145485,0.0019216423304668424
26,179,0.22674339999999998,36.19181442,0.756655,0.6265046,55,-7.641548218945577,33.58178814285714,0.48290247492404376,0.11987234668649521
27,179,0.22674339999999998,36.19181442,0.756655,0.6265046,56,-7.621863968945584,33.58178814285714,0.16675435355019025,0.0413939391869858
28,179,0.22674339999999998,36.19181442,0.756655,0.6265046,44,-7.61116274999993,33.564282857142864,0.32247037352919466,0.08004779933649205
29,179,0.22674339999999998,36.19181442,0.756655,0.6265046,29,-7.641548218945577,33.546777571428585,0.4643692898739127,0.11527179792375855
30,179,0.22674339999999998,36.19181442,0.756655,0.6265046,30,-7.621863968945584,33.546777571428585,0.7787005521105609,0.19329920096649883
31,179,0.22674339999999998,36.19181442,0.756655,0.6265046,31,-7.6021797189455915,33.546777571428585,0.0914775743462791,0.022707755862716596
32,179,0.22674339999999998,36.19181442,0.756655,0.6265046,43,-7.630846999999922,33.564282857142864,1.0,0.2482330344348516
33,180,0.335722357,35.36194992,1.747365,0.949388742,15,-7.670215499999908,33.5292722857143,0.031741610368410104,0.006548417324122413
34,180,0.335722357,35.36194992,1.747365,0.949388742,16,-7.650531249999915,33.5292722857143,0.1314194633165519,0.027112344973065847
35,180,0.335722357,35.36194992,1.747365,0.949388742,41,-7.670215499999908,33.564282857142864,0.785646317008861,0.16208188221143136
36,180,0.335722357,35.36194992,1.747365,0.949388742,27,-7.680916718945562,33.546777571428585,0.8875209740294755,0.18309901906050405
37,180,0.335722357,35.36194992,1.747365,0.949388742,42,-7.650531249999915,33.564282857142864,0.7422664040319628,0.15313243792175046
38,180,0.335722357,35.36194992,1.747365,0.949388742,29,-7.641548218945577,33.546777571428585,0.4920409337839522,0.10150995294727991
39,180,0.335722357,35.36194992,1.747365,0.949388742,40,-7.6898997499999,33.564282857142864,0.2859846734584899,0.058999747283548724
