,code,zips,fb_keys,Users,Males,Females,High school grad,College grad,Away from hometown,Away from family,Recently moved,Single,Married,Civil union,Engaged,iOS,Android,Frequent international travelers,Frequent Travelers,Returned from travels 1 week ago,Technology early adopters,2G,3G,4G,WiFi,Expats,Gambling,Casino,Catholic Church,Buddhism,Atheism,Cooking,Restaurants,Fast food,LGBT community,Homosexuality,Same-sex marriage,Fitness and wellness,Older devices,Mac,iPhone X,Huawei,VIVO,Oppo,iPhone 8,iPhone 8 Plus,Galaxy S8,Galaxy S8+,Galaxy S9,Galaxy S9+,smartphone e tablet,tablet,Cherry Mobile,Samsung Android,Windows,income
0,1015,30002,US:30002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56750.0
1,1016,30004,US:30004,42333.333333333336,0.4267716535433071,0.5669291338582677,0.10236220472440943,0.4165354330708661,0.1795275590551181,0.1779527559055118,,0.10236220472440943,0.42598425196850387,,,0.3748031496062992,0.1700787401574803,0.15748031496062992,0.515748031496063,0.025984251968503937,0.029921259842519685,,,0.1464566929133858,0.45275590551181105,0.16220472440944883,0.06299212598425197,0.034251968503937004,0.0921259842519685,0.0484251968503937,,0.47165354330708664,0.40629921259842516,0.18346456692913385,0.07677165354330709,0.025984251968503937,,0.6614173228346456,0.11653543307086613,0.03543307086614173,0.034251968503937004,,,,0.04015748031496063,0.0437007874015748,,,,,0.5354330708661418,0.28503937007874014,,0.10236220472440943,0.025984251968503937,107423.0
2,1017,30005,US:30005,15666.666666666666,0.4255319148936171,0.5574468085106383,0.08297872340425533,0.4340425531914894,0.18510638297872342,0.18085106382978725,,0.09787234042553192,0.4510638297872341,,,0.3574468085106383,0.13617021276595745,0.16170212765957448,0.5063829787234042,,0.09574468085106383,,,0.46595744680851064,0.4468085106382979,0.2,0.12765957446808512,,0.09361702127659575,,,0.46170212765957447,0.4191489361702128,0.19787234042553192,0.07021276595744681,,,0.7021276595744681,0.13191489361702127,,,,,,,,,,,,0.4978723404255319,0.2531914893617021,,0.08936170212765958,0.08297872340425533,127340.0
3,1018,30008,US:30008,6266.666666666667,0.47340425531914887,0.5159574468085106,,0.28191489361702127,,,,0.17553191489361702,0.23936170212765956,,,0.276595744680851,0.33510638297872336,,0.5212765957446808,,,,,0.6223404255319148,0.4148936170212766,0.2553191489361702,0.19148936170212766,,0.19148936170212766,,,0.48404255319148937,0.4521276595744681,0.2606382978723404,,,,0.6861702127659575,0.2074468085106383,,,,,,,,,,,,0.5957446808510638,0.33510638297872336,,0.19148936170212766,,45907.0
4,1019,30009,US:30009,24666.666666666668,0.4054054054054054,0.5662162162162162,0.10405405405405405,0.4364864864864864,0.16216216216216214,0.1554054054054054,,0.12567567567567567,0.41486486486486485,,,0.34864864864864864,0.12162162162162161,0.12162162162162161,0.5337837837837838,,0.19459459459459458,,,1.0135135135135134,0.4054054054054054,0.15675675675675674,0.31216216216216214,0.07297297297297296,0.11756756756756756,0.09324324324324323,0.0527027027027027,0.5175675675675675,0.4918918918918919,0.27297297297297296,0.1662162162162162,,0.08918918918918918,0.7391891891891891,0.18378378378378377,0.11756756756756756,0.07702702702702702,,,,0.07702702702702702,0.09324324324324323,,,,,0.6486486486486486,0.27837837837837837,,0.11756756756756756,0.1581081081081081,79933.0
5,1020,30011,US:30011,11566.666666666666,0.45244956772334294,0.5417867435158502,0.2219020172910663,0.2910662824207493,0.14985590778097982,0.17723342939481268,,0.14121037463976946,0.37175792507204614,,,0.27953890489913547,0.30835734870317005,0.13400576368876083,0.5244956772334295,,,,,0.276657060518732,0.43804034582132567,0.09942363112391932,0.14697406340057637,,0.09942363112391932,,,0.5302593659942363,0.4495677233429395,0.29682997118155624,0.09510086455331412,,,0.6829971181556196,0.1527377521613833,,,,,,,,,,,,0.6282420749279539,0.37463976945244953,,0.18731988472622477,,60469.0
6,1021,30012,US:30012,6633.333333333333,0.4271356783919598,0.5678391959798995,0.22613065326633167,0.2864321608040201,0.1658291457286432,0.1658291457286432,,0.17587939698492464,0.27638190954773867,,,0.24623115577889448,0.35175879396984927,,0.577889447236181,,,,,0.3668341708542714,0.4472361809045226,0.18090452261306533,0.34673366834170855,,0.19597989949748745,,,0.6180904522613065,0.542713567839196,0.3768844221105528,,,,0.7989949748743719,0.2562814070351759,,,,,,,,,,,,0.5628140703517588,0.36180904522613067,,0.17587939698492464,,40631.0
7,1022,30013,US:30013,6800.0,0.4264705882352941,0.5637254901960784,0.21568627450980393,0.3333333333333333,0.16911764705882354,0.16911764705882354,,0.18382352941176472,0.3382352941176471,,,0.25980392156862747,0.3137254901960784,,0.4852941176470588,,,,,0.4852941176470588,0.39215686274509803,,0.19117647058823528,,,,,0.4362745098039216,0.37254901960784315,0.2303921568627451,,,,0.5784313725490197,0.17647058823529413,,,,,,,,,,,,0.6029411764705882,0.36764705882352944,,0.20098039215686275,,55763.0
8,1023,30014,US:30014,26666.666666666668,0.4125,0.5874999999999999,0.26125,0.29875,0.125,0.12249999999999998,,0.16999999999999998,0.36,,,0.2925,0.29875,0.09375,0.5375,,0.057499999999999996,,,0.3,0.42875,,0.17125,0.08,0.09875,0.041249999999999995,,0.6125,0.5499999999999999,0.37749999999999995,0.11375,,0.07125,0.7625,0.16499999999999998,,,,,,,,,,,,0.6125,0.36249999999999993,,0.16249999999999998,0.06,46718.0
9,1024,30016,US:30016,10333.333333333334,0.45161290322580644,0.5516129032258065,0.1935483870967742,0.27741935483870966,0.15161290322580645,0.14516129032258063,,0.17903225806451611,0.27096774193548384,,,0.25483870967741934,0.3451612903225806,0.1064516129032258,0.5580645161290323,,0.11612903225806451,,,0.45483870967741935,0.43548387096774194,0.12258064516129032,0.30967741935483867,0.12580645161290321,0.11612903225806451,,,0.5,0.4129032258064516,0.28709677419354834,0.16451612903225807,,,0.6483870967741935,0.15806451612903225,,,,,,,,,,,,0.49677419354838703,0.3,,0.17419354838709677,,56324.0
