,upz_id,x_coord,y_coord,zat_id,upz_name,local_name,local_id,population,median_income,circle_id,lat,lon,overlap_wrt_circle,overlap_wrt_upz
38,13,-74.024598,4.720698,83,LOS CEDROS,USAQUEN,1,10614,6,138,4.742,-74.0395,0.07204232766315996,0.03377083891947181
39,13,-74.024598,4.720698,83,LOS CEDROS,USAQUEN,1,10614,6,153,4.726,-74.0308,0.8037074061306457,0.37674897843013466
40,13,-74.024598,4.720698,83,LOS CEDROS,USAQUEN,1,10614,6,136,4.7101,-74.0395,0.18935918795788834,0.08876474208811454
41,13,-74.024598,4.720698,83,LOS CEDROS,USAQUEN,1,10614,6,168,4.726,-74.0131,0.05238416662790976,0.024555803657445512
42,14,-74.026938,4.708727,85,USAQUEN,USAQUEN,1,4626,6,136,4.7101,-74.0395,0.05665761312020179,0.03415471395194488
43,14,-74.026938,4.708727,85,USAQUEN,USAQUEN,1,4626,6,134,4.6781,-74.0395,0.3718606920486519,0.22416750137265112
44,14,-74.026938,4.708727,85,USAQUEN,USAQUEN,1,4626,6,151,4.6941,-74.0308,0.6758467175224411,0.40741835105844393
45,14,-74.026938,4.708727,85,USAQUEN,USAQUEN,1,4626,6,150,4.6781,-74.0218,0.11745603028971761,0.07080561455995892
46,14,-74.026938,4.708727,85,USAQUEN,USAQUEN,1,4626,6,135,4.6941,-74.0485,0.015883890623288464,0.009575231126158405
47,14,-74.026938,4.708727,85,USAQUEN,USAQUEN,1,4626,6,152,4.7101,-74.0218,0.2328489776158672,0.1403675479162938
48,15,-74.040945,4.709722,87,COUNTRY CLUB,USAQUEN,1,38818,6,137,4.726,-74.0485,0.02499467258656637,0.02763409916814794
49,15,-74.040945,4.709722,87,COUNTRY CLUB,USAQUEN,1,38818,6,117,4.7101,-74.0571,0.1811723661306697,0.20030408939518354
50,15,-74.040945,4.709722,87,COUNTRY CLUB,USAQUEN,1,38818,6,136,4.7101,-74.0395,0.6425298678617373,0.7103807431560929
51,16,-74.046167,4.700934,852,SANTA BARBARA,USAQUEN,1,10824,6,117,4.7101,-74.0571,0.06391189926795929,0.04348070703472395
52,16,-74.046167,4.700934,852,SANTA BARBARA,USAQUEN,1,10824,6,135,4.6941,-74.0485,0.9383811461194165,0.6384018652029276
53,16,-74.046167,4.700934,852,SANTA BARBARA,USAQUEN,1,10824,6,115,4.6781,-74.0571,0.007452040626272445,0.00506979136894861
54,16,-74.046167,4.700934,852,SANTA BARBARA,USAQUEN,1,10824,6,136,4.7101,-74.0395,0.11145333106017927,0.07582421569970799
