upz_id,latitude,longitude,radius,Users,Males,Females,High school grad,College grad,Away from hometown,Away from family,Recently moved,Single,Married,Civil union,Engaged,iOS,Android,Frequent international travelers,Frequent Travelers,Returned from travels 1 week ago,Technology early adopters,2G,3G,4G,WiFi,Expats,Gambling,Casino,Catholic Church,Buddhism,Atheism,Cooking,Restaurants,Fast food,LGBT community,Homosexuality,Same-sex marriage,Fitness and wellness,Older devices,Mac,iPhone X,Huawei,VIVO,Oppo,iPhone 8,iPhone 8 Plus,Galaxy S8,Galaxy S8+,Galaxy S9,Galaxy S9+,smartphone e tablet,tablet,Cherry Mobile,Samsung Android,Windows,circle_id,Unnamed: 0,x_coord,y_coord,zat_id,local_id,population,lat,lon,overlap_wrt_circle,overlap_wrt_upz,median_income
35,13.7623,-222.28629999999998,3,34500.77224297324,0.49722965301615024,0.4624181383969041,0.14210461912130085,0.3244565899054799,0.0761340699227049,0.0766305262155344,0.0,0.2715308762682527,0.11203507950082646,0.0,0.032327731349158235,0.0693134277830165,0.7096520794996015,0.23573733992254517,0.6414857838212079,0.09423523364570975,0.031967532973471845,0.0,0.042348578704606926,0.1336691031487973,0.5929543113799703,0.06869914035449862,0.21416472255335162,0.03582645649359643,0.2111859847963746,0.03686387911193035,0.051793850737652816,0.3904610107531089,0.49159682514117703,0.29566662978306174,0.10743617058645456,0.035219948426154876,0.0,0.7109091495242622,0.25478147694590697,0.021081899091469927,0.0,0.20695135694963002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7600170168609994,0.5169219053825804,0.0,0.20701184714960918,0.043571873585935825,205,450,-222.25645199999997,13.758087,1389,45,9564,13.762300000000002,-222.28629999999998,0.5802693079626339,0.9179717329390812,2.8333333333333335
37,13.778299999999998,-222.2776,3,70400.67391028242,0.4935574171157593,0.48195046823113835,0.14156288278862666,0.3189931443797718,0.07160937332258109,0.07097819450835169,0.0,0.2505651303630245,0.10729917784627793,0.0,0.029759466870677858,0.061381455011285994,0.6812620851301026,0.21613080993829126,0.5984026187732063,0.09362615396154891,0.028616678822628715,0.0,0.03561868219919395,0.12409400449682036,0.5259596996340798,0.06376124827069032,0.18368452296635693,0.029381600610967628,0.1840547517987572,0.032003143700248815,0.04287198082515175,0.3415767275823706,0.42043476849688516,0.2500045200829978,0.08995252243740977,0.030819600480063294,0.0,0.6203499537698524,0.2385593811130815,0.017207073356136898,0.0,0.18085165185602586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6448422815903094,0.4496016665199305,0.0,0.17073853216771376,0.030634625987265476,227,468,-222.270684,13.784709,1338,42,24597,13.778300000000002,-222.2776,0.772747446126945,0.927949099389998,3.0
38,22.958499999999997,-370.595,5,71309.18193172906,0.49375195095139046,0.4919803960402859,0.1412290577256306,0.32172251773293836,0.07227305102160295,0.07202813432421924,0.0,0.2579714586767904,0.10769453266081884,0.0,0.030859309920479,0.06572452917374963,0.6911752716615956,0.22223327503760262,0.6145578785001155,0.0914890728535581,0.030518519123285393,0.0,0.03357334425717056,0.12697739592234117,0.5585412714999751,0.06396175855202217,0.19629221094824478,0.030615711227459045,0.1954326196337605,0.03402351126530183,0.04597564792132623,0.3638043596858501,0.44527011603074457,0.2702401221438076,0.09408215640624351,0.032166735050714414,0.0,0.6565989539516184,0.24050605058530924,0.01857985002804676,0.0,0.19018197665792505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6916185735152579,0.47402275171214864,0.0,0.1836305535259774,0.03348305192874489,221,800,-370.52124999999995,22.946655,2510,75,55205,22.9585,-370.595,0.7161097250164136,0.8615886407249818,3.0
39,13.7303,-222.3569,3,125859.9746258407,0.49606691245900686,0.5022948557569129,0.14645275817305314,0.3235546910729429,0.07267175233374916,0.07328534900107986,0.0,0.26325686939405096,0.11103615560341959,0.0,0.032195324993870233,0.06554610162576513,0.7131752643524412,0.2262509842712461,0.6376662930883443,0.09422673565802903,0.03144611128361251,0.0,0.032702737120507946,0.13202720956710173,0.592714519926485,0.06831771065796621,0.20936481225212142,0.033078929380301915,0.20929736278620756,0.0357535515166323,0.047838974217383576,0.3802755925039448,0.4679829159913526,0.28015530490433016,0.10241330380639792,0.03434904511038013,0.0,0.691349869998767,0.2571515615368183,0.0182571553211102,0.0,0.20506329392687084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7421606308592845,0.5044788149256929,0.0,0.19914193914245995,0.038793732028098105,121,492,-222.389418,13.736247,2961,54,6582,13.730300000000002,-222.3569,1.1653546200940401,0.9346248910149634,3.0
40,18.4244,-296.4583,4,119962.25989399297,0.4913440077515522,0.48948453687919613,0.14011879266787702,0.32107747455073976,0.07185098587620503,0.07160856288671416,0.0,0.2547600674148901,0.10580612145772614,0.0,0.029590850142098307,0.0681258687633396,0.6844139626952132,0.219684645572016,0.6152408276801731,0.0897947619050311,0.030709883796062574,0.0,0.03297539499652732,0.1264073171628285,0.5610858540690891,0.06320122131762274,0.19642117378613028,0.02979306149175684,0.19429211757282655,0.0342793632675764,0.04616224715865994,0.3658968770255574,0.4477291809950638,0.2708949011591845,0.09449905889806683,0.031913754629237394,0.0,0.6600475480740704,0.24183782870299142,0.01852372745134764,0.0,0.19478910129028967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7161389486146694,0.4731280500347135,0.0,0.1922443668087576,0.03910340494180354,196,670,-296.409452,18.428164000000002,1728,64,29452,18.4244,-296.4583,1.1901324291864857,0.9101891889246898,3.0
41,13.810299999999998,-222.38350000000003,3,86144.64285122673,0.4930252118593514,0.4961020099428113,0.14144136993758974,0.3174401689939942,0.07117636726510004,0.07132711365532726,0.0,0.2524612820048319,0.10729334781201826,0.0,0.030675367345809168,0.06600892808817696,0.7001629277885503,0.2203357378644087,0.62265519147591,0.09043272426929767,0.03132559113548119,0.0,0.032209356473847615,0.1309302810629651,0.5796084147906371,0.06710694107694831,0.19607513964081538,0.029723975193915824,0.19674090011391857,0.03425011118232816,0.04578467932295372,0.37074934531825365,0.45467660188066417,0.27515237809094045,0.09598716816278244,0.03240012009435955,0.0,0.6770096211643823,0.249998209952537,0.017708049332560368,0.0,0.19966260260934715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74845631479403,0.4858984043567058,0.0,0.19964192319760968,0.0339434317533096,107,513,-222.40084199999998,13.797597,1539,48,24654,13.8103,-222.38350000000003,0.6757415365110372,0.9428348633975537,3.0
44,27.716599999999996,-444.82000000000005,6,124271.02556955793,0.4770864993732794,0.49205163149334624,0.13855241884270922,0.32057284444683776,0.07105649038160027,0.07119333028881955,0.0,0.24759946058223173,0.10921991508392223,0.0,0.028833607727567375,0.0718008708862327,0.6910720286290534,0.22164059815632933,0.620817568594661,0.08984914459110666,0.030891376690061915,0.0,0.03308004851027195,0.13124552141876863,0.577837023110866,0.06635828034701655,0.19562007130620704,0.029165536777361632,0.19595393303092876,0.03445264515361832,0.045235864460621084,0.3691559072061279,0.4469676873888471,0.2689627821276596,0.09401101651674931,0.03222682086093636,0.0,0.6658924376299707,0.25337023967021605,0.01663133689237011,0.0,0.2018992656984562,0.0,0.0,0.0004134998850265111,0.0003498845180993556,0.0,0.0,0.0,0.0,0.746245651469976,0.4719575966383436,0.0,0.2024620442927567,0.0412137437748439,161,1113,-444.792642,27.765251999999997,2526,48,70428,27.716599999999996,-444.82000000000005,1.0446513069303789,0.8765761467879986,3.0
45,18.4244,-296.5642,4,175399.05895573884,0.48924430320506423,0.49190742054895265,0.14330555215395577,0.3150399425291652,0.0698988105639995,0.0700099254502116,0.0,0.24888508058547162,0.10808407940154731,0.0,0.030003866842884877,0.06589705985101922,0.7022175385308346,0.21746229058560243,0.6232058759693831,0.09155959014418116,0.030988942673465796,0.0,0.03272846124395824,0.13154714040259444,0.585245793736996,0.06803654412559174,0.19408062392572376,0.02938334367617527,0.19717813366245,0.03318086012037694,0.04490402054772179,0.36708081649410107,0.45101192801640916,0.2696410993447004,0.09580643943406902,0.03248976793398872,0.0,0.6703871859377654,0.2568107855832554,0.015735498701420568,0.0,0.20582161939035307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7644382278275078,0.4854583903399374,0.0,0.2058608662423904,0.03960383226836802,78,762,-296.577784,18.455648,2080,32,71320,18.4244,-296.5642,1.2922879080704646,0.9317042055703363,2.8333333333333335
46,27.860599999999998,-444.86390000000006,6,206525.3423238742,0.4823142900429415,0.484422655095093,0.1382087143974261,0.3150976065786065,0.07149702524543657,0.07154865692584121,0.0,0.24632737415383812,0.1113594393478575,0.0,0.028905228505976946,0.07156810180980254,0.6874204644792756,0.21990657136362898,0.6113052899208077,0.08942569201874466,0.030575810452591216,0.0,0.03375884547009309,0.1322853313598363,0.5820675176389107,0.06880306636192478,0.1924611102413179,0.02956977206888524,0.19843703240779412,0.03481897293916654,0.04419499899848246,0.3658981226729615,0.44345763614873335,0.2679700311971916,0.09563382725651756,0.03230101067918494,0.0,0.6586143384999963,0.25172157621455843,0.01652498028688935,5.540631290649403e-06,0.20459030797748853,0.0,0.0,0.001303228148888196,0.0011041663920345135,0.0,0.0,0.0,0.0,0.7527301472474573,0.46496078078571357,0.0,0.21377726155706767,0.038823070964675736,311,1173,-444.8098860000001,27.887226000000005,2346,48,64938,27.860599999999998,-444.86390000000006,1.3955794114012596,0.8770491467750725,2.7142857142857144
47,18.4724,-296.6435,4,251890.68047300476,0.47745176897533137,0.4878286709028736,0.14359815791891908,0.3099903668527235,0.06936306180738633,0.06938462209012336,0.0,0.2476505485131169,0.10758187863995403,0.0,0.029784946082331808,0.06475039996456834,0.7106043740897793,0.21490812388828442,0.6225462391475454,0.09294446687564924,0.030466019146494827,0.0,0.033143636159372804,0.132620642602889,0.5706453959723559,0.069135093529736,0.19287317244245378,0.029929732878298976,0.1942210938469947,0.03340794913672663,0.04343779161116273,0.3572959508420477,0.4354363799265968,0.2604126466511813,0.09563436608669817,0.03244210745195719,0.0,0.6638309471794882,0.2591352148235447,0.01573115675267517,0.0018458698553634409,0.20833847757813742,0.0,0.0,0.005083663010558404,0.004259675910867466,0.0,0.0,0.0,0.0,0.7577552551933043,0.47813920567217827,0.0,0.2067403576262577,0.03567611168740227,389,802,-296.613924,18.511932,1668,32,52664,18.4724,-296.6435,0.9953457387589061,0.920397122504043,3.0
